Characteristic,Category,Percentage of population age 0-4,Percentage of population age 5-9,Percentage of population age 10-14,Percentage of population age 15-19,Percentage of population age 20-24,Percentage of population age 25-29,Percentage of population age 30-34,Percentage of population age 35-39,Percentage of population age 40-44,Percentage of population age 45-49,Percentage of population age 50-54,Percentage of population age 55-59,Percentage of population age 60-64,Percentage of population age 65-69,Percentage of population age 70-74,Percentage of population age 75-79,Percentage of population age 80 +,Dependency age group 0-14,Dependency age group 15-64,Dependency age group 65+,Child population 0-17,Adult population 18+,Adolescents 10-19
  Jigawa,Male,19.7,22,12.9,8.6,5.6,6.3,3.8,3.8,3,2.8,2.7,3,1.9,2.2,1,0.4,0.3,54.7,41.5,3.9,60.4,39.6,21.6
  Jigawa,Female,18.9,19.8,14.4,8.7,7.1,7.3,5.4,4.2,4,3.2,2.3,2.4,1,0.6,0.4,0.2,0.3,53.1,45.4,1.4,58.4,41.6,23.1
  Kaduna,Total,19.6,17.9,12.55,9.05,7,6.8,6.65,5.25,4.55,3.5,1.8,1.85,1.3,0.8,0.65,0.3,0.35,50,47.85,2.15,55.65,44.35,21.6
  Kaduna,Male,20.6,18.3,13.3,8,4.9,5.7,5.6,5.4,4.8,3.6,2.5,2.4,1.8,1,0.9,0.5,0.6,52.2,44.8,3,57.7,42.3,21.3
  Kaduna,Female,18.6,17.5,11.8,10.1,9.1,7.9,7.7,5.1,4.3,3.4,1.1,1.3,0.8,0.6,0.4,0.1,0.1,47.8,50.9,1.3,53.6,46.4,21.9
  Kano,Total,18.55,19.1,14.35,9.35,7.05,6.35,4.8,4.85,3.6,2.5,2.95,1.9,1.95,1,0.8,0.45,0.55,52,45.2,2.8,57.9,42.1,23.7
  Kano,Male,19.5,19.6,14.6,9.4,5.9,5.6,4.3,4.1,3.7,2.8,2.3,1.9,2.5,1.4,1.1,0.6,0.8,53.7,42.3,4,59.9,40.1,24
  Kano,Female,17.6,18.6,14.1,9.3,8.2,7.1,5.3,5.6,3.5,2.2,3.6,1.9,1.4,0.6,0.5,0.3,0.3,50.3,48.1,1.6,55.9,44.1,23.4
  Katsina,Total,19.25,19.05,13.6,10.35,6.7,6.4,4.8,4.3,3.55,2.3,2.9,2.15,1.6,1,1.05,0.5,0.6,51.9,45.1,3.05,58.95,41.05,24
  Katsina,Male,19.6,19.4,13.6,10.2,6,5.7,4.4,4.5,3.5,2.3,2.4,2,2,1.4,1.5,0.8,1,52.5,43,4.6,59.7,40.3,23.8
  Katsina,Female,18.9,18.7,13.6,10.5,7.4,7.1,5.2,4.1,3.6,2.3,3.4,2.3,1.2,0.6,0.6,0.2,0.2,51.3,47.2,1.5,58.2,41.8,24.2
  Kebbi,Total,19.7,20.1,12.6,8.7,7.2,6.65,5.75,4.9,3.65,3.25,2.65,1.5,1.25,0.9,0.45,0.2,0.45,52.4,45.5,2.05,58.1,41.9,21.35
  Kebbi,Male,20.3,21.3,12.8,8.5,5.6,5.1,5.3,5,3.4,3,2.7,2.1,1.6,1.4,0.7,0.4,0.7,54.5,42.3,3.2,60.3,39.7,21.4
  Kebbi,Female,19.1,18.9,12.4,8.9,8.8,8.2,6.2,4.8,3.9,3.5,2.6,0.9,0.9,0.4,0.2,0,0.2,50.3,48.7,0.9,55.9,44.1,21.3
  Sokoto,Total,19.9,18.5,14.35,8.7,5.75,6.05,5.3,4.55,3.35,3,3.75,2.3,1.85,1.35,0.7,0.4,0.35,52.7,44.55,2.75,58.55,41.45,23.05
  Sokoto,Male,20,18.9,14.8,8.9,5,4.2,4.6,4.1,3.6,3.3,2.7,2.5,2.7,2.4,1.2,0.7,0.5,53.6,41.6,4.8,59.6,40.4,23.7
  Sokoto,Female,19.8,18.1,13.9,8.5,6.5,7.9,6,5,3.1,2.7,4.8,2.1,1,0.3,0.2,0.1,0.2,51.8,47.5,0.7,57.5,42.5,22.4
  Zamfara,Total,18.9,18.15,13.95,9.35,7.15,6.7,5.95,4.65,3.7,2.85,2.7,1.9,1.2,1.15,0.8,0.5,0.4,51,46.15,2.85,57.1,42.9,23.3
  Zamfara,Male,19.5,18.9,13.8,8.9,5.9,5.2,5.6,4.6,3.9,3.8,2.2,1.8,1.5,1.7,1.3,0.9,0.6,52.1,43.4,4.5,58.3,41.7,22.7
  Zamfara,Female,18.3,17.4,14.1,9.8,8.4,8.2,6.3,4.7,3.5,1.9,3.2,2,0.9,0.6,0.3,0.1,0.2,49.9,48.9,1.2,55.9,44.1,23.9
  Abia,Total,15.9,13.05,9.65,8.15,5.6,6.2,7.15,6,5.7,5.55,3.5,3.15,2.8,2.8,1.85,1.25,1.7,38.65,53.8,7.55,43.5,56.45,17.8
  Abia,Male,16.6,13.8,10.1,7.7,5.4,5.2,7.6,5.5,5.5,5.2,3.6,2.9,3,3.2,1.9,1.5,1.4,40.6,51.4,8,45.4,54.5,17.8
  Abia,Female,15.2,12.3,9.2,8.6,5.8,7.2,6.7,6.5,5.9,5.9,3.4,3.4,2.6,2.4,1.8,1,2,36.7,56.2,7.1,41.6,58.4,17.8
  Anambra,Total,17.65,14.55,9.85,7.5,6,7.1,6.7,6.35,5.45,4.5,2.55,2.55,2.45,2.45,1.5,1.3,1.45,42.05,51.3,6.7,46.7,53.3,17.35
  Anambra,Male,19.4,14.6,10.8,7,4.8,4.6,6.3,6.8,6.3,4,3.3,2.9,2.6,1.9,1.5,1.4,1.7,44.7,48.8,6.5,49.4,50.6,17.8
  Anambra,Female,15.9,14.5,8.9,8,7.2,9.6,7.1,5.9,4.6,5,1.8,2.2,2.3,3,1.5,1.2,1.2,39.4,53.8,6.9,44,56,16.9
